material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent,material_type_encoded,eco_score,performance_score,eco_performance_ratio,is_biodegradable,is_recyclable,dual_end_of_life,strength_tier,co2_category
63,Areca Palm Leaf Plates,Natural Fiber,3.0,2,95.0,92.0,30,6,77.55,2.5,31.02,1,1,1,medium,ultra_low
64,Sal Leaf Plates,Natural Fiber,3.0,2,95.0,92.0,35,6,78.8,2.5,31.52,1,1,1,medium,ultra_low
65,Sago Palm Starch Films,Bioplastic,2.0,2,95.0,91.0,25,1,75.9,2.0,37.95,1,1,1,lightweight,ultra_low
66,Jackfruit Seed Bioplastics,Bio-based Composite,2.0,2,90.0,91.0,30,0,75.4,2.0,37.7,1,1,1,lightweight,ultra_low
67,Durian Rind Composites,Natural Fiber,3.0,3,88.0,91.0,45,6,78.45,3.0,26.15,1,1,1,medium,ultra_low
68,Mango Seed Coatings,Bio-based Composite,2.0,2,92.0,91.0,40,0,78.6,2.0,39.3,1,1,1,lightweight,ultra_low
69,Papaya Leaf Fibers,Natural Fiber,2.0,2,90.0,92.0,50,6,80.8,2.0,40.4,1,1,1,lightweight,ultra_low
70,Guava Pomace Fillers,Natural Fiber,2.0,3,88.0,92.0,55,6,81.35,2.5,32.54,1,1,1,lightweight,ultra_low
71,Lentil Hull Composites,Natural Fiber,3.0,3,85.0,91.0,60,6,81.15,3.0,27.05,1,1,1,medium,ultra_low
72,Chickpea Straw Pulp,Natural Fiber,3.0,3,90.0,92.0,65,6,84.55,3.0,28.183,1,1,1,medium,ultra_low
73,Soybean Hull Sheets,Natural Fiber,3.0,3,88.0,91.0,55,6,80.95,3.0,26.983,1,1,1,medium,ultra_low
74,Alginate Films (Brown Algae),Bio-based Composite,2.0,2,95.0,94.0,25,0,77.1,2.0,38.55,1,1,1,lightweight,ultra_low
75,Carrageenan Wraps (Red Algae),Bio-based Composite,2.0,2,95.0,94.0,25,0,77.1,2.0,38.55,1,1,1,lightweight,ultra_low
76,Fucoidan-Based Trays,Bio-based Composite,3.0,3,94.0,93.0,25,0,76.35,3.0,25.45,1,1,1,medium,ultra_low
77,Pectin Films (Fruit-Derived),Bio-based Composite,2.0,2,92.0,92.0,30,0,76.5,2.0,38.25,1,1,1,lightweight,ultra_low
78,Bacterial Cellulose Sheets,Bio-based Composite,4.0,3,95.0,92.0,20,0,75.05,3.5,21.443,1,1,1,heavy_duty,ultra_low
79,Pullulan Films (Fungal),Bio-based Composite,2.0,2,95.0,93.0,25,0,76.7,2.0,38.35,1,1,1,lightweight,ultra_low
80,Xanthan Gum Coatings,Bio-based Composite,2.0,2,90.0,92.0,30,0,75.8,2.0,37.9,1,1,1,lightweight,ultra_low
81,Guar Gum Composites,Bio-based Composite,2.0,3,92.0,92.0,35,0,77.75,2.5,31.1,1,1,1,lightweight,ultra_low
82,Orange Peel Composites,Natural Fiber,2.0,2,92.0,92.0,40,6,79.0,2.0,39.5,1,1,1,lightweight,ultra_low
83,Lemon Peel Films,Natural Fiber,2.0,2,90.0,92.0,35,6,77.05,2.0,38.525,1,1,1,lightweight,ultra_low
84,Pomegranate Rind Trays,Natural Fiber,3.0,3,88.0,91.0,45,6,78.45,3.0,26.15,1,1,1,medium,ultra_low
85,Grape Pomace Fillers,Natural Fiber,2.0,3,90.0,92.0,50,6,80.8,2.5,32.32,1,1,1,lightweight,ultra_low
86,Tomato Skin Sheets,Natural Fiber,2.0,2,92.0,92.0,40,6,79.0,2.0,39.5,1,1,1,lightweight,ultra_low
87,Onion Peel Composites,Natural Fiber,3.0,3,85.0,91.0,55,6,79.9,3.0,26.633,1,1,1,medium,ultra_low
88,Garlic Husk Padding,Natural Fiber,2.0,2,88.0,92.0,50,6,80.1,2.0,40.05,1,1,1,lightweight,ultra_low
89,Eggshell Calcium Composites,Bio-based Composite,4.0,4,85.0,91.0,60,0,81.15,4.0,20.288,1,1,1,heavy_duty,ultra_low
90,Crab Shell Chitin Films,Bio-based Composite,3.0,3,90.0,91.0,30,0,75.4,3.0,25.133,1,1,1,medium,ultra_low
91,Shrimp Shell Chitosan Trays,Bio-based Composite,3.0,3,92.0,91.0,30,0,76.1,3.0,25.367,1,1,1,medium,ultra_low
92,Fish Scale Bioplastics,Bio-based Composite,3.0,3,85.0,90.0,25,0,72.0,3.0,24.0,1,1,1,medium,low_emission
93,Feather Keratin Foams,Bio-based Composite,2.0,2,90.0,91.0,20,0,72.9,2.0,36.45,1,1,1,lightweight,ultra_low
94,Wool Fiber Padding,Natural Fiber,3.0,3,85.0,87.0,70,6,82.05,3.0,27.35,1,1,1,medium,low_emission
95,Silk Cocoons Composites,Natural Fiber,3.0,3,80.0,85.0,40,6,72.0,3.0,24.0,1,1,1,medium,low_emission
96,Casein (Milk Protein) Films,Bio-based Composite,2.0,2,90.0,90.0,25,0,73.75,2.0,36.875,1,1,1,lightweight,low_emission
97,Gelatin-Based Wraps,Bio-based Composite,2.0,2,95.0,91.0,20,0,74.65,2.0,37.325,1,1,1,lightweight,ultra_low
98,Collagen Sheets,Bio-based Composite,3.0,3,92.0,90.0,30,0,75.7,3.0,25.233,1,1,1,medium,low_emission
99,Lignin Foams (Wood Extract),Bio-based Composite,3.0,3,85.0,91.0,40,0,76.15,3.0,25.383,1,1,1,medium,ultra_low
100,Hemicellulose Films,Bio-based Composite,2.0,2,90.0,92.0,35,0,77.05,2.0,38.525,1,1,1,lightweight,ultra_low
101,Glucomannan Noodles/Padding,Bio-based Composite,2.0,3,95.0,92.0,25,0,76.3,2.5,30.52,1,1,1,lightweight,ultra_low
102,Locust Bean Gum Trays,Bio-based Composite,2.0,2,92.0,91.0,30,0,76.1,2.0,38.05,1,1,1,lightweight,ultra_low
103,Konjac Glucomannan Films,Bio-based Composite,2.0,2,95.0,92.0,25,0,76.3,2.0,38.15,1,1,1,lightweight,ultra_low
104,Fungal Keratinase Composites,Bio-based Composite,3.0,3,95.0,92.0,20,0,75.05,3.0,25.017,1,1,1,medium,ultra_low
105,Bacterial Nanocellulose Foams,Bio-based Composite,4.0,4,95.0,92.0,20,0,75.05,4.0,18.762,1,1,1,heavy_duty,ultra_low
106,PHA From Bacteria (Films),Bioplastic,3.0,3,95.0,88.0,25,1,74.7,3.0,24.9,1,1,1,medium,low_emission
107,PHB Bottles/Trays,Bioplastic,4.0,4,90.0,87.0,30,1,73.8,4.0,18.45,1,1,1,heavy_duty,low_emission
108,Polyhydroxybutyrate (PHB) Composites,Bioplastic,4.0,4,92.0,87.0,30,1,74.5,4.0,18.625,1,1,1,heavy_duty,low_emission
109,Spider Silk-Inspired Synthetics,Bio-based Composite,5.0,4,85.0,89.0,40,0,75.35,4.5,16.744,1,1,1,heavy_duty,low_emission
110,Nettle Fiber Bags,Natural Fiber,4.0,4,90.0,90.0,55,6,81.25,4.0,20.312,1,1,1,heavy_duty,low_emission
111,Willow Bark Composites,Natural Fiber,3.0,3,88.0,90.0,60,6,81.8,3.0,27.267,1,1,1,medium,low_emission
